ligand_id,SMILES,BE_avg,is_active
ASD03130019,CNC(=O)C(Cc1cccc(Br)c1)NC(=O)C(Cc1ccc(C(N)=O)cc1)NC(=O)C(c1ccccc1)C1CCCCC1,-7.9637651340536255,1
ASD03130022,CNC(=O)C(Cc1cc(Br)cc(Br)c1)NC(=O)C(Cc1ccc(C(N)=O)cc1)NC(=O)C(c1ccccc1)C1CCCCC1,-6.954733970119851,1
b2AR-decoy_179,CC(C)(C)C(=O)OCC(Cc1ccccc1)NP(=O)(OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@](C)(O)[C@@H]1O)Oc1ccccc1,-5.9129056913306695,0
b2AR-decoy_891,C(=N/Nc1nc(c2ccc3ccccc3c2)cs1)\c1cccs1,-5.767811249269109,0
b2AR-decoy_192,Cc1c(CNc2ccc(C[NH2+][C@H](CO)C(=O)[O-])c(OCc3cccc(C#N)c3)c2)cccc1c1ccc2c(c1)OCCO2,-5.750606908296704,0
b2AR-decoy_236,COc1cc([C@H](O)[C@H](COC(=O)/C=C/c2ccc(O)cc2)Oc2ccc(/C=C/COC(=O)/C=C\c3ccc(O)cc3)cc2OC)ccc1O,-5.693713150057917,0
b2AR-decoy_2399,Nc1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1F,-5.655075118995936,0
b2AR-decoy_188,C#CCCC(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)/C=C/C(=O)N1C(=O)C=C(OC)[C@@H]1C(C)C)[C@@H](C)CC,-5.6472796413068895,0
b2AR-decoy_1776,Oc1ccc(SC[C@@H]2CO[C@@](CCc3ccc(Cl)cc3)(Cn3ccnc3)O2)cc1,-5.625542226129758,0
b2AR-decoy_1076,CC/C(=N\NC(=O)c1cc2ccccc2cc1O)c1cc2c(F)c(F)c(F)cc2[nH]1,-5.618300147722994,0
b2AR-decoy_263,Cc1n[nH]c(CN(C)c2cc3c(cc2C(=O)N[C@H]2CC[C@H](C(F)(F)F)CC2)nc(Nc2c(Cl)ccc(CNC(=O)C(C)(C)F)c2Cl)n3C)n1,-5.596431096294477,0
