ligand_id,SMILES,BE_min,is_active
b2AR-decoy_1239,O=C1C(c2ccc(Oc3ccccc3)cc2)=[N+]([O-])c2cc3c(cc21)OCO3,-10.9869176566154,0
b2AR-decoy_263,Cc1n[nH]c(CN(C)c2cc3c(cc2C(=O)N[C@H]2CC[C@H](C(F)(F)F)CC2)nc(Nc2c(Cl)ccc(CNC(=O)C(C)(C)F)c2Cl)n3C)n1,-10.5579110002232,0
b2AR-decoy_2573,O=C1c2ccccc2C(=O)c2c1cc(Sc1ccc3ccccc3c1)c1nsnc21,-10.2571143862104,0
b2AR-decoy_2233,O=C1OC(O)C(c2cccc(c3ccc4ccccc4c3)c2)=C1c1ccc2ccccc2c1,-10.1334331031885,0
b2AR-decoy_265,CCn1cc(/C(=N/Nc2nc(c3ccc(F)cc3)c(C#N)s2)C(F)(F)F)c2cc(c3nc(C[NH+]4CCC[C@H]4C(=O)[O-])cs3)ccc21,-10.0767423104838,0
b2AR-decoy_465,Cc1cc(c2ccc(C(=O)c3ccc(F)c(O)c3)cc2)ccc1O,-9.81880147305,0
b2AR-decoy_250,CC(C)C[C@H]([NH3+])C(=O)Nc1ccc(C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)[O-])cc1OCCc1c[nH]c2ccccc12,-9.78515512887709,0
b2AR-decoy_179,CC(C)(C)C(=O)OCC(Cc1ccccc1)NP(=O)(OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@](C)(O)[C@@H]1O)Oc1ccccc1,-9.78418155145124,0
b2AR-decoy_192,Cc1c(CNc2ccc(C[NH2+][C@H](CO)C(=O)[O-])c(OCc3cccc(C#N)c3)c2)cccc1c1ccc2c(c1)OCCO2,-9.75551736482299,0
b2AR-decoy_891,C(=N/Nc1nc(c2ccc3ccccc3c2)cs1)\c1cccs1,-9.73389786872122,0
b2AR-decoy_200,CCCCOC(=O)[C@H](C)NP(=O)(Oc1cccc2ccccc12)O[C@H](C)[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@](C)(O)[C@@H]1O,-9.72205966409705,0
b2AR-decoy_168,CCC(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@H](NC(=O)[C@H](NC(=O)c1cnccn1)C(C)C)C(C)C)C(=O)C(F)(F)F,-9.66085288736462,0
b2AR-decoy_845,COc1c(C)cc(c2ccc(/C=C(\C#N)c3nc4ccccc4[nH]3)o2)cc1C,-9.50536697401559,0
b2AR-decoy_2399,Nc1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1F,-9.49433033629827,0
b2AR-decoy_303,C[C@H](CCC(=O)OCc1cn(CC(O)(Cn2cncn2)c2ccc(F)cc2F)nn1)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C,-9.40763259846751,0
b2AR-decoy_2262,CC1=NN(c2cc(F)c(O)c(F)c2)C(=O)/C1=C\c1ccc(c2ccccc2C(F)F)o1,-9.34449639647508,0
b2AR-decoy_188,C#CCCC(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)/C=C/C(=O)N1C(=O)C=C(OC)[C@@H]1C(C)C)[C@@H](C)CC,-9.33514230467529,0
b2AR-decoy_384,O=C(NCc1ccc(C(F)(F)F)c(F)c1)c1cc(Cl)ccc1O,-9.32571679874414,0
b2AR-decoy_324,Cc1ccc(O)c(Cc2cc(C)cc(Cc3cc(C)ccc3O)c2O)c1,-9.30563328428665,0
b2AR-decoy_212,O=C1[C@@H](CCn2cc(CO[C@H]3Cc4c(O)cc(O)cc4O[C@@H]3c3ccc(O)c(O)c3)nn2)[C@@H](c2ccccc2)N1c1ccccc1,-9.26439987577442,0
b2AR-decoy_207,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cn1cc(CCC(=O)N2CCOCC2)c2ccc(C(=O)NCC3CCCC3)cc21,-9.25091357749036,0
ASD03130019,CNC(=O)C(Cc1cccc(Br)c1)NC(=O)C(Cc1ccc(C(N)=O)cc1)NC(=O)C(c1ccccc1)C1CCCCC1,-9.22720402957465,1
b2AR-decoy_2515,O=C(OCCC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)c1cc(/N=C/c2cc(O)ccc2O)ccc1O,-9.22140366963368,0
b2AR-decoy_178,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(C[NH2+][C@@H](C(=O)[O-])[C@H](C)O)cc2Cl)cccc1c1ccccc1,-9.21241267876961,0
b2AR-decoy_1109,NC(=O)c1ccccc1NC(=O)c1ccc(Oc2ccc3ccccc3c2)cc1,-9.21024440992066,0
b2AR-decoy_2226,O=C1NC(=S)S/C1=C\N1N=C(c2ccc3ccccc3c2)CC1c1ccc(Cl)cc1,-9.20807494139206,0
b2AR-decoy_254,C[C@@H](S[C@H]1CO[C@H](c2ccc(C(=O)Nc3ccc(C#N)c(C#N)c3)cc2)OC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,-9.16398433368719,0
b2AR-decoy_698,Cc1cc(C)c(/C=N/NC(=O)C(C)c2ccc(c3ccccc3)c(F)c2)c(C)c1,-9.16346369477583,0
b2AR-decoy_1116,CCC(C)N1C(=O)S/C(=C/c2ccc(Sc3nc4ccccc4[nH]3)o2)C1=O,-9.14478748883805,0
b2AR-decoy_503,O=c1oc2ccc(O)cc2cc1c1cccc(O)c1,-9.14385979273668,0
b2AR-decoy_2066,O=c1ccc2cc(OC/C(=N\O)c3ccc(c4ccccc4)cc3)ccc2o1,-9.14283027250201,0
b2AR-decoy_1776,Oc1ccc(SC[C@@H]2CO[C@@](CCc3ccc(Cl)cc3)(Cn3ccnc3)O2)cc1,-9.13182198302892,0
b2AR-decoy_744,CC1CCc2c(c3c(O)cc(C(C)CCCc4ccc(F)cc4)cc3oc2=O)C1,-9.13015370491706,0
b2AR-decoy_2286,C=C(CCC(O)c1cccc2ccccc12)C1COC2(OO1)C1CC3CC(C1)CC2C3,-9.11919945249471,0
b2AR-decoy_2434,C/C(=N\OC(=O)c1cccnc1)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,-9.11656778837763,0
b2AR-decoy_2358,C/C(=N\NC(N)=S)c1ccc(OCc2ncc(C(F)(F)F)cc2Cl)cc1,-9.10782871910263,0
b2AR-decoy_3080,Cn1cncc1C(OCc1ccc(C#N)cc1)c1ccc(C#N)c(c2cc3ccccc3s2)c1,-9.08976313227313,0
b2AR-decoy_2346,CC(C)(C)c1ccc(Cn2cc([C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)c3ccccc32)cc1,-9.06890012091049,0
b2AR-decoy_1532,O=C(O/N=C(\Cn1ccnc1)c1ccc2ccccc2c1)c1ccc(c2ccccc2)cc1,-9.04698444440643,0
b2AR-decoy_467,Cc1cc(c2ccc(C(=O)c3cccc(O)c3)nc2)ccc1O,-9.04438126222745,0
b2AR-decoy_2856,CN(C)c1ccc(/C=C2/CC[C@@]3(C)[C@@H](CC[C@@H]3c3ccc4ccncc4c3)C2)cc1,-9.0359920695118,0
b2AR-decoy_158,COc1cccc(COc2ccc(C(=O)c3c(OCc4cccc(OC)c4)cc(OC)cc3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2)c1,-9.02888401677209,0
b2AR-decoy_136,O=C1NC(=S)S/C1=C/c1cccc(Oc2ccc(C(F)(F)F)cc2)c1,-9.02467075728549,0
b2AR-decoy_1823,C=CCn1c(CCNC(=O)c2ccccc2F)nnc1SCC(=O)Nc1nc2ccccc2s1,-9.02153571860719,0
b2AR-decoy_440,Cc1c(O)ccc(C(=O)/C=C/c2ccc(C(F)(F)F)cc2)c1O,-9.01492394032389,0
b2AR-decoy_2065,Cc1cc(C)c2c(O)nc(SCC(=O)c3ccc(C(C)C)cc3)nc2n1,-9.00979006660362,0
b2AR-decoy_2024,O=C(NNC(=O)c1ccccc1OCc1ccccc1)c1ccccc1O,-9.00273390247562,0
b2AR-decoy_2657,CCC(F)(CC)c1nc(COc2cc(OC)cc3oc(c4cn5nc(OC)sc5n4)cc23)cs1,-8.99472486529168,0
b2AR-decoy_2886,Cc1c(N2Cc3ccccc3C2=O)cccc1c1ccc(C(N)=O)c2[nH]c3cc(C(C)(C)O)ccc3c21,-8.98705056592352,0
b2AR-decoy_869,O=C(/C=C/c1ccc(Oc2ccccc2)cc1)c1ccccc1O,-8.96550442724158,0
b2AR-decoy_754,CC1(C)C=Cc2c(ccc(C(=O)/C=C/c3ccc(F)c(F)c3)c2O)O1,-8.95888835940105,0
b2AR-decoy_60,O=C(Nc1nnc(c2ccc3c(c2)CCCC3)o1)c1ccc(Cl)cc1Cl,-8.9516069855541,0
b2AR-decoy_926,CC1CCC(=NNc2nc(c3ccc4ccccc4c3)cs2)CC1,-8.93407053689562,0
b2AR-decoy_1211,C/C(=N/Nc1nc(c2ccc(Cl)cc2)cs1)c1nccs1,-8.92693324729279,0
b2AR-decoy_203,COc1cc(/C=C/C(=O)/C(=N\Nc2ccc([N+](=O)[O-])cc2)C(=O)C(Br)C(Br)c2ccc(O)c(OC)c2)ccc1O,-8.90934792618361,0
b2AR-decoy_2097,C/C(=N\NC(=S)NCCc1c[nH]c2ccccc12)c1ccc(Cl)cc1,-8.90716382449768,0
b2AR-decoy_1087,C[C@]12CC[C@@H]3[C@H]4CC/C(=N\Oc5ccc([N+](=O)[O-])cc5)C[C@@H]4CC[C@H]3[C@@H]1CC[C@@H]2O,-8.90697830767049,0
b2AR-decoy_2537,Clc1ccc(c2csc(N/N=C(/Cn3cncn3)c3ccc(Br)cc3)n2)cc1,-8.90548967624607,0
b2AR-decoy_2767,C[C@](O)(c1ccc(S(=O)(=O)c2ccc(c3ccc(C#N)cc3)cc2C2CC2)cc1)C(F)(F)F,-8.89889405275327,0
b2AR-decoy_2333,O[C@H]1[C@H](O)CO[C@@H](c2cn(Cc3ccc4ccccc4c3)c3ccccc23)[C@@H]1O,-8.88625081702123,0
b2AR-decoy_12,N#C/C(=C\c1ccc(c2cccs2)o1)c1nc2ccccc2[nH]1,-8.88043488978678,0
b2AR-decoy_910,Cc1ccc2oc3c(SCc4nc5ccccc5[nH]4)nc(C)nc3c2c1,-8.88020812612372,0
b2AR-decoy_3104,CN(C)c1ccc(/C=C/C(=O)c2cc(C(=O)/C=C/c3ccc(N(C)C)cc3)c(O)cc2O)cc1,-8.86907888035017,0
b2AR-decoy_968,Cc1oc(c2ccccc2Cl)nc1CSc1nc(O)c2c(n1)CCC2,-8.86004234084605,0
