ligand_id,SMILES,cluster00_BE,cluster01_BE,cluster02_BE,cluster03_BE,cluster04_BE,cluster05_BE,cluster06_BE,cluster07_BE,cluster08_BE,cluster09_BE,is_active
b2AR-decoy_1239,O=C1C(c2ccc(Oc3ccccc3)cc2)=[N+]([O-])c2cc3c(cc21)OCO3,-10.9869176566154,-7.5749150093466255,-5.500083894143571,-3.91722318956386,-3.682845071198528,-3.3787597555307247,-6.458188597062971,-2.928794215857417,-5.202455077304256,-4.482063443641737,0
b2AR-decoy_263,Cc1n[nH]c(CN(C)c2cc3c(cc2C(=O)N[C@H]2CC[C@H](C(F)(F)F)CC2)nc(Nc2c(Cl)ccc(CNC(=O)C(C)(C)F)c2Cl)n3C)n1,-10.5579110002232,-6.810538292065045,-6.089438653182782,-5.25779411059246,-3.821149354295769,-4.317402226302214,-4.22735991085109,-4.845407230353278,-4.573664209128967,-5.463645975949966,0
b2AR-decoy_2573,O=C1c2ccccc2C(=O)c2c1cc(Sc1ccc3ccccc3c1)c1nsnc21,-10.2571143862104,-7.6611865669154255,-5.277423354414071,-3.55051012488061,-3.3531283679901183,-2.5794893971980946,-4.688710438673841,-2.7295522777019965,-3.973069933717026,-5.124427571547857,0
b2AR-decoy_2233,O=C1OC(O)C(c2cccc(c3ccc4ccccc4c3)c2)=C1c1ccc2ccccc2c1,-10.1334331031885,-7.272838680249896,-6.416646502314832,-6.11239555364371,-4.557818241923388,-2.9807723988890045,-3.336834023256161,-3.162095400281517,-5.259860997532987,-5.918013509934347,0
b2AR-decoy_265,CCn1cc(/C(=N/Nc2nc(c3ccc(F)cc3)c(C#N)s2)C(F)(F)F)c2cc(c3nc(C[NH+]4CCC[C@H]4C(=O)[O-])cs3)ccc21,-10.0767423104838,-6.158215920170786,-5.318064059310271,-5.194457639991351,-5.193039339102418,-4.056951774895914,-5.439476573157471,-3.184489311574957,-4.678645722114647,-6.644580680386186,0
b2AR-decoy_465,Cc1cc(c2ccc(C(=O)c3ccc(F)c(O)c3)cc2)ccc1O,-9.81880147305,-6.284613688563965,-5.407415851519271,-4.5123662677548895,-4.7253254889091885,-3.824485982164485,-3.816282993365581,-4.220917409394748,-5.088377212607637,-4.425501900876776,0
b2AR-decoy_250,CC(C)C[C@H]([NH3+])C(=O)Nc1ccc(C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)[O-])cc1OCCc1c[nH]c2ccccc12,-9.78515512887709,-6.264254958630355,-4.6148858469582015,-4.05978168010566,-4.176883196219328,-4.134303165539805,-3.947774062137672,-4.655982459886477,-5.130261195759426,-3.612253311941207,0
b2AR-decoy_179,CC(C)(C)C(=O)OCC(Cc1ccccc1)NP(=O)(OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@](C)(O)[C@@H]1O)Oc1ccccc1,-9.78418155145124,-4.951005484917816,-6.677110268440002,-5.587129604760669,-5.771625958840808,-7.154369576428884,-4.199726402328871,-4.604770939836127,-4.530671753696317,-5.868465372605957,0
b2AR-decoy_192,Cc1c(CNc2ccc(C[NH2+][C@H](CO)C(=O)[O-])c(OCc3cccc(C#N)c3)c2)cccc1c1ccc2c(c1)OCCO2,-9.75551736482299,-6.790432267236936,-6.812801407203862,-5.740086808206939,-5.955290792636079,-3.924860612146075,-4.614420949536051,-4.429435895016077,-5.070552061244007,-4.412670924918027,0
b2AR-decoy_891,C(=N/Nc1nc(c2ccc3ccccc3c2)cs1)\c1cccs1,-9.73389786872122,-7.232452256821425,-6.478379973085282,-5.56363683371247,-5.491513119548399,-4.663808702764525,-4.404743362779001,-3.904429374308936,-4.517779165781536,-5.687471835168287,0
b2AR-decoy_200,CCCCOC(=O)[C@H](C)NP(=O)(Oc1cccc2ccccc12)O[C@H](C)[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@](C)(O)[C@@H]1O,-9.72205966409705,-6.008631108490016,-6.9756572648688415,-4.42509374809458,-5.806143630770629,-4.2295227722393545,-2.743179399681681,-4.125840433496506,-5.324203910778697,-5.111939527302887,0
