ligand_id,SMILES,BE_min,is_active
b2AR-decoy_2637,O=C1CCCC2=C1C1OC(CCCCN3C(=O)c4ccccc4C3=O)(Cc3c1ccc1ccccc31)O2,-13.089,0
b2AR-decoy_2563,Cc1cccc(NC(=O)C(=O)C(C(=O)c2ccc3ccccc3c2)C2OC(=O)c3ccccc32)c1C,-12.783,0
b2AR-decoy_2553,O=c1cc(c2cccc(/C=C/c3ccc4ccccc4n3)c2)oc2ccc(C3=NNN=N3)cc12,-12.648,0
b2AR-decoy_1882,CC12C=CC(C(=O)O[C@H]3CC[C@H]4[C@@H]5CCC6=CC(=O)CC[C@@H]6[C@H]5CC[C@]34C)(CC1)CC2,-12.62,0
b2AR-decoy_2591,O=C(Oc1ccc(c2ccccc2)cc1)N1c2ccccc2Sc2ccccc21,-12.551,0
b2AR-decoy_2432,N#Cc1cc(Cc2ccc3c(ccc4ccccc43)c2C#N)cc2c1ccc1ccccc12,-12.539,0
b2AR-decoy_2727,Cc1ccc(C(=O)O[C@H]2CC[C@@]3(C)C(=CC[C@H]4[C@@H]5CC/C(=N\O)[C@@]5(C)CC[C@@H]43)C2)cc1,-12.523,0
b2AR-decoy_2232,O=C(c1ccc2[nH]c(COc3ccc(C45CC6CC(CC(C6)C4)C5)cc3)nc2c1)N1CCCC1,-12.485,0
b2AR-decoy_207,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cn1cc(CCC(=O)N2CCOCC2)c2ccc(C(=O)NCC3CCCC3)cc21,-12.483,0
b2AR-decoy_2233,O=C1OC(O)C(c2cccc(c3ccc4ccccc4c3)c2)=C1c1ccc2ccccc2c1,-12.475,0
ASD03130112,Clc1cc(Cl)cc(Nc2nc(NC34CC5CC(CC(C5)C3)C4)c3ccccc3n2)c1,-12.382,1
b2AR-decoy_2636,O=C(c1ccncc1)N1N=C(c2ccccc2)CC1c1cn(c2ccccc2)nc1c1ccc(F)cc1,-12.315,0
