ligand_id,SMILES,cluster00_BE,cluster01_BE,cluster02_BE,cluster03_BE,cluster04_BE,cluster05_BE,cluster06_BE,cluster07_BE,cluster08_BE,cluster09_BE,is_active
ASD03130019,CNC(=O)C(Cc1cccc(Br)c1)NC(=O)C(Cc1ccc(C(N)=O)cc1)NC(=O)C(c1ccccc1)C1CCCCC1,-11.26,-9.641438011178517,-9.09224608846988,-8.25833694954279,-7.171315787273159,-6.979868893096185,-6.819070045242071,-6.074417845601447,-7.843730518260667,-8.204578071486306,1
ASD03130022,CNC(=O)C(Cc1cc(Br)cc(Br)c1)NC(=O)C(Cc1ccc(C(N)=O)cc1)NC(=O)C(c1ccccc1)C1CCCCC1,-11.448,-9.269438011178517,-9.26024608846988,-8.08333694954279,-7.665315787273158,-7.152868893096185,-6.72507004524207,-5.992417845601446,-7.431730518260666,-7.999578071486306,1
ASD03130024,Fc1ccc(Nc2nc(NC3CCCCC3)c3ccccc3n2)cc1F,-10.957,-9.260438011178517,-8.752246088469882,-7.41633694954279,-7.441315787273158,-6.621868893096185,-6.165070045242072,-5.677417845601447,-7.4877305182606655,-7.602578071486306,1
ASD03130026,Nc1nc(Nc2ccccc2)nc2ccc(I)cc12,-8.714,-6.903438011178515,-6.208246088469881,-5.45933694954279,-5.140315787273158,-4.1958688930961845,-4.274070045242072,-3.671417845601447,-5.268730518260666,-6.004578071486307,1
ASD03130027,Nc1nc(Nc2ccccc2)nc2ccc(C(F)(F)F)cc12,-10.288,-8.089438011178515,-7.471246088469881,-6.69533694954279,-6.491315787273159,-5.576868893096185,-5.43007004524207,-4.658417845601447,-6.3897305182606665,-7.075578071486307,1
ASD03130028,Nc1nc(Nc2ccccc2)nc2ccc(Cl)cc12,-9.052,-7.262438011178515,-6.589246088469881,-5.601336949542789,-5.554315787273158,-4.571868893096184,-4.562070045242072,-3.7854178456014473,-5.444730518260666,-6.225578071486307,1
ASD03130029,Nc1nc(Nc2ccccc2)nc2ccc(Br)cc12,-8.708,-7.006438011178515,-6.568246088469881,-5.54533694954279,-5.298315787273159,-4.298868893096184,-4.351070045242071,-3.820417845601448,-5.320730518260667,-6.0665780714863065,1
ASD03130030,O=C(Nc1ccccc1-c1ccccc1)OC1CCN(CCCCCCCCCNCC(O)c2ccc(O)c3[nH]c(=O)ccc23)CC1,-9.348,-8.600438011178515,-7.388246088469881,-6.59333694954279,-5.848315787273158,-5.149868893096185,-5.11907004524207,-4.710417845601446,-6.8017305182606655,-6.583578071486306,1
ASD03130033,Fc1ccc(Nc2nc(NC3CCCCC3)c3ccccc3n2)cc1,-10.601,-8.803438011178516,-8.659246088469882,-7.018336949542789,-7.210315787273158,-6.402868893096185,-6.072070045242072,-5.246417845601448,-7.262730518260666,-7.573578071486306,1
ASD03130034,Fc1cccc(Nc2nc(NC3CCCCC3)c3ccccc3n2)c1,-11.218,-8.706438011178514,-8.62924608846988,-7.17633694954279,-7.260315787273159,-6.237868893096184,-5.858070045242071,-5.510417845601447,-7.307730518260666,-7.833578071486306,1
