ligand_id,SMILES,glide_gscore,is_active
ASD03130019,CNC(=O)C(Cc1cccc(Br)c1)NC(=O)C(Cc1ccc(C(N)=O)cc1)NC(=O)C(c1ccccc1)C1CCCCC1,-12.1562646357128,1
ASD03130022,CNC(=O)C(Cc1cc(Br)cc(Br)c1)NC(=O)C(Cc1ccc(C(N)=O)cc1)NC(=O)C(c1ccccc1)C1CCCCC1,-12.0492934335174,1
b2AR-decoy_1854,O=C(NCCCn1ccnc1)/C(=C\c1ccc(Br)cc1)NC(=O)c1ccccc1F,-9.93124493625002,0
b2AR-decoy_212,O=C1[C@@H](CCn2cc(CO[C@H]3Cc4c(O)cc(O)cc4O[C@@H]3c3ccc(O)c(O)c3)nn2)[C@@H](c2ccccc2)N1c1ccccc1,-9.23175974614239,0
b2AR-decoy_1211,C/C(=N/Nc1nc(c2ccc(Cl)cc2)cs1)c1nccs1,-9.05987847190366,0
b2AR-decoy_2318,Cn1c(C(F)(F)c2nc3c(F)cc(F)cc3[nH]2)nc2ccc(C(N)=O)cc21,-9.04847722558991,0
b2AR-decoy_2214,Cc1ccc(/C=C2/SC(c3ccc(n4ccnc4)cc3)N(Nc3ccccc3)C2=O)cc1,-8.93032234247779,0
b2AR-decoy_2550,O=c1c(c2cccnc2)nc2ccccc2n1C(CCc1ccccc1)c1nc2ccccc2[nH]1,-8.90656444224913,0
b2AR-decoy_168,CCC(NC(=O)[C@@H]1C[C@@H](OCc2ccccc2)CN1C(=O)[C@H](NC(=O)[C@H](NC(=O)c1cnccn1)C(C)C)C(C)C)C(=O)C(F)(F)F,-8.8718527457352,0
b2AR-decoy_910,Cc1ccc2oc3c(SCc4nc5ccccc5[nH]4)nc(C)nc3c2c1,-8.84337860573126,0
b2AR-decoy_984,CC(C)C1=C(Cc2ccccc2)C(=O)O/C1=C\c1ccc(O)c(Cl)c1,-8.82437821459023,0
b2AR-decoy_1872,CCN(CC(O)(CNC(=O)c1cnn(c2ccc(F)cc2)c1N)C(F)(F)F)C(=O)c1ccc(Cl)cc1,-8.82358321714374,0
b2AR-decoy_891,C(=N/Nc1nc(c2ccc3ccccc3c2)cs1)\c1cccs1,-8.80964113507701,0
b2AR-decoy_1142,CC(C)C1=C(Cc2ccccc2)C(=O)O/C1=C\c1cc(Cl)c(O)c(Cl)c1,-8.79196468144304,0
b2AR-decoy_1217,C/C(=N/Nc1nc(c2ccc(Cl)cc2)cs1)c1cccs1,-8.78493017660491,0
b2AR-decoy_642,C/C(=N\Nc1nc2c(C)cccc2s1)c1ccc(Br)cc1,-8.77453269201229,0
b2AR-decoy_1857,CNc1c(F)c(Oc2cccc(c3cccc(C[NH3+])c3)c2)nc(Oc2cc(N(C)C)ccc2C(=O)[O-])c1F,-8.7712384747567,0
b2AR-decoy_1110,CCSc1ccc(C(=O)Nc2nnc(c3ccc4c(c3)CCCC4)o2)cc1,-8.76133527925638,0
b2AR-decoy_2573,O=C1c2ccccc2C(=O)c2c1cc(Sc1ccc3ccccc3c1)c1nsnc21,-8.75030328862985,0
b2AR-decoy_636,CC1(C)C=Cc2c(ccc(C(=O)/C=C/c3ccc(Cl)cc3)c2O)O1,-8.74154687466904,0
b2AR-decoy_1685,C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1ccccc1O,-8.73403666973375,0
b2AR-decoy_173,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CC(=O)Cc2ccccc2)NC1=O,-8.70815890492269,0
b2AR-decoy_2206,CC[C@@]12CC[C@](O)(c3ccccc3)C[C@H]1CCc1cc(OCc3cccnc3C)ccc12,-8.707722904126,0
b2AR-decoy_266,C[NH+](C)CCC(=O)Nc1ccccc1N1CCN(C(=O)C2(Oc3ccc(C(F)(F)F)cc3)CCCN(C(=O)c3cnccc3C(F)(F)F)C2)CC1,-8.68600839727329,0
b2AR-decoy_2065,Cc1cc(C)c2c(O)nc(SCC(=O)c3ccc(C(C)C)cc3)nc2n1,-8.68563561930628,0
b2AR-decoy_2326,O=C(NC(C(=O)NO)c1ccc(c2cc(F)c(F)c(F)c2)cc1)C1CCOCC1,-8.65648310558268,0
b2AR-decoy_254,C[C@@H](S[C@H]1CO[C@H](c2ccc(C(=O)Nc3ccc(C#N)c(C#N)c3)cc2)OC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,-8.64400471033353,0
b2AR-decoy_440,Cc1c(O)ccc(C(=O)/C=C/c2ccc(C(F)(F)F)cc2)c1O,-8.62236289503692,0
b2AR-decoy_2340,O=C(NO)c1cc2ccc(NS(=O)(=O)Cc3ccccc3)cc2s1,-8.6086292245126,0
b2AR-decoy_1986,Cc1ccc(NC(=O)CSc2sc3c(O)cc(O)nc3c2C#N)cc1C,-8.59652907569644,0
b2AR-decoy_926,CC1CCC(=NNc2nc(c3ccc4ccccc4c3)cs2)CC1,-8.58813054176329,0
b2AR-decoy_327,CC1(C)C=Cc2c(ccc(C(=O)/C=C/c3ccc4ccccc4c3)c2O)O1,-8.58726718351666,0
b2AR-decoy_202,C=CC[C@@H](Cc1ccc(F)cc1)C(=O)OC[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC=C)CC(=O)N(CCO)Cc1ccccc1,-8.58363497177745,0
b2AR-decoy_1723,O=c1c(Cl)c(N/N=C/c2ccc(Br)cc2)cnn1c1ccccc1,-8.5755888491279,0
b2AR-decoy_1911,CC(C)=CCC/C(C)=C/Cc1c(O)cc2c(c1O)C(=O)C[C@@H](c1cc(O)cc(O)c1)O2,-8.5740783945297,0
b2AR-decoy_698,Cc1cc(C)c(/C=N/NC(=O)C(C)c2ccc(c3ccccc3)c(F)c2)c(C)c1,-8.57214500451873,0
b2AR-decoy_203,COc1cc(/C=C/C(=O)/C(=N\Nc2ccc([N+](=O)[O-])cc2)C(=O)C(Br)C(Br)c2ccc(O)c(OC)c2)ccc1O,-8.55065838537303,0
b2AR-decoy_1201,CC(=O)/C(=C/n1c(=S)sc2ccccc21)C(=O)Nc1ccccc1C,-8.50532751578638,0
b2AR-decoy_2335,CC(C)C(CC1NC(=O)NC1=O)c1ccc(c2ccc3cccc(F)c3c2)[nH]c1=O,-8.49470453233174,0
b2AR-decoy_61,CC1(C)C=Cc2c(ccc(C(=O)/C=C/c3ccc(Br)cc3)c2O)O1,-8.49401109434438,0
b2AR-decoy_2233,O=C1OC(O)C(c2cccc(c3ccc4ccccc4c3)c2)=C1c1ccc2ccccc2c1,-8.46795709618651,0
b2AR-decoy_2024,O=C(NNC(=O)c1ccccc1OCc1ccccc1)c1ccccc1O,-8.46212723856001,0
b2AR-decoy_1953,N#Cc1ccc(C(c2c(O)c3ccccc3oc2=O)c2c(O)c3ccccc3oc2=O)cc1,-8.45562766922511,0
b2AR-decoy_2342,O=C1C[C@@H](c2ccccc2)Oc2cc(O)c(Cc3cccc(O)c3O)c(O)c21,-8.45119970060982,0
b2AR-decoy_384,O=C(NCc1ccc(C(F)(F)F)c(F)c1)c1cc(Cl)ccc1O,-8.44742022708102,0
b2AR-decoy_1805,COc1ccc([C@@H]2[C@@H](CC[C@@H](O)c3ccccc3)C(=O)N2c2ccc(OC)cc2)cc1,-8.4292654160344,0
b2AR-decoy_1793,O=C1NC(=O)/C(=C/c2ccc(OCc3ccccc3)cc2OCc2ccccc2)S1,-8.39634238644876,0
b2AR-decoy_221,C=CCO[C@@H]1[C@H](O)[C@H](Oc2ccc(I)cc2)O[C@@H](COS(=O)(=O)c2ccc3ccccc3c2)[C@H]1O,-8.39328250780092,0
b2AR-decoy_379,CC(=O)c1ccc2c(c1)[C@H](NC(=O)c1ccc(F)c(Cl)c1)[C@H](O)C(C)(C)O2,-8.39245741511782,0
b2AR-decoy_3076,CO/N=C(/c1ccc(Cl)cc1)c1ccccc1Oc1ccc(C(F)(F)F)cc1,-8.38800124247781,0
b2AR-decoy_898,COc1cccc(c2csc(N/N=C(\C)c3cccs3)n2)c1,-8.37260336490293,0
b2AR-decoy_1287,CN(C)c1cccc(/C=C2/C=C(Cc3ccccc3)C(=O)O2)c1,-8.36609803368626,0
b2AR-decoy_676,CC(C)=CCC/C(C)=C/Cc1c(O)cc2oc3c(O)cccc3c(=O)c2c1O,-8.36574396479326,0
b2AR-decoy_2205,O=c1[nH]c(SCc2ccc3ccccc3c2)nc(Cc2ccccc2)c1Br,-8.34257205049836,0
