ligand_id,SMILES,BE_avg,is_active
CCR2-decoy_298,O=C(N[C@@H](Cc1ccccc1)P(=O)(O)[C@@H]1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-])OCc1ccccc1,-6.894465263977702,0
CCR2-decoy_234,CCOC(=O)[C@H](Cc1c[nH]c2ccccc12)NP(=O)(OC[C@H]1O[C@@H](n2cc(/C=C/Br)c(=O)[nH]c2=O)C[C@@H]1O)Oc1ccccc1,-6.701560133626098,0
ASD10910002,CC(=O)C1=C(O)C(=O)N(c2ccc(Cl)cc2F)C1C1CCCCC1,-6.544336725890689,1
ASD10910004,O=C(CCCn1ccnn1)C1=C(O)C(=O)N(c2ccc(Cl)cc2F)C1C1CCCCC1,-6.45004404694552,1
ASD10910010,O=C(NCc1c[nH]nn1)c1ccc(Oc2ncc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)cc1,-6.3664225942547805,1
CCR2-decoy_254,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COP(=O)(OCCS(=O)(=O)c3ccccc3)Oc3ccc(Cl)cc3)O2)c(=O)[nH]c1=O,-6.327721762365827,0
CCR2-decoy_311,CCCCCOC(=O)[C@H](Cc1ccccc1)NP(=O)(OC[C@H]1O[C@@H](n2cc(/C=C/C(=O)OC)c(=O)[nH]c2=O)C[C@@H]1O)Oc1cccc2ccccc12,-6.321241557345223,0
CCR2-decoy_272,CC1(C)C2CC1[C@]1(C)OB(C(CCC/C(S)=N/N)NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)NC(=O)OCc3ccccc3)O[C@@H]1C2,-6.242244968227973,0
ASD10910012,O=C(NCc1c[nH]nn1)c1ccccc1Oc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1,-6.218475566034432,1
CCR2-decoy_324,COc1ccc(COC(=O)NC(C(=O)N[C@@H](Cc2ccccc2)[C@@H](O)C[C@H](Cc2ccccc2)NC(=O)OCc2cccnc2)C(C)C)nc1,-6.16365602653576,0
ASD10910005,O=C(CCCn1ccnn1)C1=C(O)C(=O)N(c2ccc(Br)cc2F)C1C1CCCCC1,-6.084262811673173,1
CCR2-decoy_270,CCOC(=O)[C@@H](NP(=O)(OC[C@H]1O[C@@H](n2cc(/C=C/Br)c(=O)[nH]c2=O)C[C@@H]1O)Oc1cccc2ccccc12)C(C)C,-6.064261263869075,0
CCR2-decoy_282,CS(=O)(=O)N(c1ccc(F)cc1)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+]Cc2cccc(C(F)(F)F)c2)cc(N2CCCC2=O)c1,-6.034674845124912,0
CCR2-decoy_157,O=C([O-])COc1cccc2c1CCC(Cn1cc(C(c3ccccc3)c3cccnc3)cn1)C2,-6.016047122793935,0
CCR2-decoy_305,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](Cc1cn(C=O)c2ccccc12)C(=O)N[C@@H](Cc1ccccc1)C(=O)OCc1ccccc1,-6.004337545954465,0
CCR2-decoy_349,O=C(Nc1ccccc1C(=O)N[C@@H](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1cncs1)OCc1ccccn1,-5.979327441747872,0
