ligand_id,SMILES,BE_min,is_active
ASD10910007,O=C(NCCOCCOCCn1ccnn1)c1ccc(Oc2ccc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)cc1,-10.9306260816387,1
ASD10910002,CC(=O)C1=C(O)C(=O)N(c2ccc(Cl)cc2F)C1C1CCCCC1,-9.84252055585023,1
ASD10910005,O=C(CCCn1ccnn1)C1=C(O)C(=O)N(c2ccc(Br)cc2F)C1C1CCCCC1,-9.8021809127463,1
ASD10910004,O=C(CCCn1ccnn1)C1=C(O)C(=O)N(c2ccc(Cl)cc2F)C1C1CCCCC1,-9.72390166786235,1
ASD10910012,O=C(NCc1c[nH]nn1)c1ccccc1Oc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1,-9.46455994365008,1
ASD10910008,O=C(NCCOCCOCCn1ccnn1)c1ccc(Oc2ncc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)cc1,-9.44801395208095,1
ASD10910010,O=C(NCc1c[nH]nn1)c1ccc(Oc2ncc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)cc1,-9.44597081629881,1
CCR2-decoy_345,COc1ccc(Cn2c(CCc3ccccc3)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)CNC(=O)C2(C#N)CCOCC2)cc1,-9.29932980785837,0
CCR2-decoy_254,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COP(=O)(OCCS(=O)(=O)c3ccccc3)Oc3ccc(Cl)cc3)O2)c(=O)[nH]c1=O,-9.28609540055953,0
CCR2-decoy_157,O=C([O-])COc1cccc2c1CCC(Cn1cc(C(c3ccccc3)c3cccnc3)cn1)C2,-9.24785646592925,0
CCR2-decoy_746,CN(C)c1ccc(c2nc3ncnc(N)c3cc2Cc2ccccc2)cc1,-9.21227961648302,0
CCR2-decoy_325,CO[C@H]1O[C@@H]([C@@H](O)C(=O)OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@]2(OCc3ccccc3)[C@@H](OCc3ccccc3)CO[C@@H]12,-9.19688600208747,0
CCR2-decoy_323,CC(C)C(NC(=O)OCc1cccc(C(C)(C)C)n1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)OCc1cccnc1,-9.1252425542478,0
CCR2-decoy_234,CCOC(=O)[C@H](Cc1c[nH]c2ccccc12)NP(=O)(OC[C@H]1O[C@@H](n2cc(/C=C/Br)c(=O)[nH]c2=O)C[C@@H]1O)Oc1ccccc1,-9.02062686999505,0
CCR2-decoy_395,CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)CP(=O)(O)CCCCNC(=O)Cc1ccccc1)C(=O)Nc1ccccc1,-8.96998951633435,0
