ligand_id,SMILES,cluster00_BE,cluster01_BE,cluster02_BE,cluster03_BE,cluster04_BE,cluster05_BE,cluster06_BE,cluster07_BE,cluster08_BE,cluster09_BE,is_active
ASD10910007,O=C(NCCOCCOCCn1ccnn1)c1ccc(Oc2ccc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)cc1,-10.9306260816387,-8.708298099558784,-9.649560576191863,-7.199912467666206,-5.532712305786308,-4.409862731849677,-4.278487200879663,1.4524078740511808,-2.6790397558800727,-2.283517585192886,1
ASD10910002,CC(=O)C1=C(O)C(=O)N(c2ccc(Cl)cc2F)C1C1CCCCC1,-9.84252055585023,-7.570422641674973,-8.722353836615596,-7.735719659965646,-5.295689764834658,-6.304912341074838,-5.449175426762112,-4.867938026692679,-3.344816919963292,-6.309818085472866,1
ASD10910005,O=C(CCCn1ccnn1)C1=C(O)C(=O)N(c2ccc(Br)cc2F)C1C1CCCCC1,-9.8021809127463,-7.051595627674544,-6.799137400424656,-7.129886834281226,-5.0658108998924085,-5.540530257663358,-4.770996142649173,-5.585207128514488,-3.4411745132518528,-5.656108399633727,1
ASD10910004,O=C(CCCn1ccnn1)C1=C(O)C(=O)N(c2ccc(Cl)cc2F)C1C1CCCCC1,-9.72390166786235,-6.285583173326214,-8.423054415464536,-7.203471100933596,-5.530727875140428,-6.023746744633368,-5.060711548787543,-6.503736763167929,-3.5846777677851627,-6.160829412354067,1
ASD10910012,O=C(NCc1c[nH]nn1)c1ccccc1Oc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1,-9.46455994365008,-7.473232942191563,-7.005603361364996,-6.396991608980937,-6.2612753190334285,-5.412427434627158,-4.724141133702173,-6.026683597598439,-3.594387129309462,-5.825453189886087,1
ASD10910008,O=C(NCCOCCOCCn1ccnn1)c1ccc(Oc2ncc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)cc1,-9.44801395208095,-7.635318421632924,-6.871161296413166,-6.596241291160537,-5.212896348809828,-2.986204472729828,-4.983992240623843,-4.14219253744591,-3.666631161247592,-4.054895844872756,1
ASD10910010,O=C(NCc1c[nH]nn1)c1ccc(Oc2ncc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)cc1,-9.44597081629881,-7.574391030228753,-7.574421484934856,-6.728231543508397,-6.061708266976797,-6.640441857625417,-6.024034166534284,-4.906323985663249,-3.393102463186822,-5.315600327590406,1
CCR2-decoy_345,COc1ccc(Cn2c(CCc3ccccc3)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)CNC(=O)C2(C#N)CCOCC2)cc1,-9.29932980785837,-5.012147115482654,-3.508876867149306,-4.221407869419807,-1.325182699539018,-4.662685220808178,-4.538797007464843,-6.192250764364919,-2.7062357173625022,-4.575123898540746,0
CCR2-decoy_254,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COP(=O)(OCCS(=O)(=O)c3ccccc3)Oc3ccc(Cl)cc3)O2)c(=O)[nH]c1=O,-9.28609540055953,-7.883101472355664,-7.378097333658726,-4.987649811745056,-5.409976996137588,-4.594758207600847,-6.449532203760363,-6.539481045696158,-4.6976410736802325,-6.050884078464106,0
CCR2-decoy_157,O=C([O-])COc1cccc2c1CCC(Cn1cc(C(c3ccccc3)c3cccnc3)cn1)C2,-9.24785646592925,-5.403355770426054,-7.496385368232087,-6.962583657789656,-4.534919019213108,-6.569588880189258,-4.275716030134733,-6.477435566158899,-3.709334236337962,-5.483296233528346,0
CCR2-decoy_746,CN(C)c1ccc(c2nc3ncnc(N)c3cc2Cc2ccccc2)cc1,-9.21227961648302,-5.435757571830984,-6.263341718835576,-7.375865928608666,-4.995697698410798,,-5.057509421804474,-3.868458816461429,-2.681908600847533,,0
CCR2-decoy_325,CO[C@H]1O[C@@H]([C@@H](O)C(=O)OCc2ccccc2)[C@@H](OCc2ccccc2)[C@@]2(OCc3ccccc3)[C@@H](OCc3ccccc3)CO[C@@H]12,-9.19688600208747,-6.731280012956904,-7.8490076028424465,-5.073576107387556,-5.678122912078338,-3.976891274609968,-5.343166857411493,-6.108453490582679,-3.9532903591204223,-2.793634140313986,0
CCR2-decoy_323,CC(C)C(NC(=O)OCc1cccc(C(C)(C)C)n1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)OCc1cccnc1,-9.1252425542478,-6.768344189626634,-6.095107044556696,-5.340612528298326,-5.214658152054668,-6.021231370669367,-4.029940910737913,-6.051281803383199,-4.431974978075032,-4.603959011053647,0
CCR2-decoy_234,CCOC(=O)[C@H](Cc1c[nH]c2ccccc12)NP(=O)(OC[C@H]1O[C@@H](n2cc(/C=C/Br)c(=O)[nH]c2=O)C[C@@H]1O)Oc1ccccc1,-9.02062686999505,-7.157132521121744,-7.537350355033586,-7.961252961184467,-6.091897854562559,-6.754269378664738,-5.137746089325873,-6.124012374977038,-5.0890745411585225,-6.142238390237406,0
CCR2-decoy_395,CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)CP(=O)(O)CCCCNC(=O)Cc1ccccc1)C(=O)Nc1ccccc1,-8.96998951633435,-7.281590863807745,-6.212497396866426,-7.658498201046386,-5.847732681562869,-5.440735232858808,-5.242855804131644,-3.497415824675409,-2.6213824960931227,-5.7341703731064655,0
CCR2-decoy_332,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC1CCCCC1)NC(=O)Cc1cccc2ccccc12,-8.9655000809358,-6.756348756708434,-6.773447679648496,-4.794348132951447,-5.0107638138075785,-5.192017102049277,-2.8163549425787133,-2.733006921720609,-2.0660183765740223,-3.7274680135782967,0
