ligand_id,SMILES,BE_avg,is_active
CCR2-decoy_407,O=C(Nc1ccccc1)/C(=C/[C@@H]1O[C@H](c2ccccc2)O[C@@H]2CO[C@@H](c3ccccc3)O[C@@H]12)C(=O)c1ccccc1,-9.2998469096475,0
CCR2-decoy_491,COc1ccc2nc(NC(=O)C(=O)C(C(=O)c3ccccc3c3ccccc3)C3OC(=O)c4ccccc43)sc2c1,-9.0424469096475,0
CCR2-decoy_448,CC1=NN(c2ccccc2)C(=O)/C1=C(/Nc1c(C)n(C)n(c2ccccc2)c1=O)c1c(C)n(C)n(c2ccccc2)c1=O,-8.8879469096475,0
CCR2-decoy_231,Cc1ccc(S(=O)(=O)N2C(C)C2CO[C@@H]2O[C@@H]3CO[C@H](c4ccccc4)O[C@@H]3[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)cc1,-8.887646909647499,0
CCR2-decoy_238,Cc1ccc(S(=O)(=O)N2CC2(C)CO[C@@H]2O[C@@H]3CO[C@H](c4ccccc4)O[C@@H]3[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)cc1,-8.849946909647501,0
CCR2-decoy_488,CSc1nn2cc(c3nc4c(OC[C@@H]5CCCN5C(=O)[C@H](NC(=O)c5ccccc5)c5ccccc5)cccc4o3)nc2s1,-8.765146909647498,0
CCR2-decoy_321,Cc1ccc(S(=O)(=O)N2CC2CO[C@@H]2O[C@@H]3CO[C@H](c4ccccc4)O[C@@H]3[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)cc1,-8.7439469096475,0
CCR2-decoy_379,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)C(O)C[C@H](Cc1ccccc1)NC(=O)[C@@H]1CN(c2cccc(C(F)(F)F)c2)C(=O)O1,-8.651146909647498,0
CCR2-decoy_487,COc1cc2c(cc1OC)CN(C(=O)C1CCN(C(=O)c3cccc(Cc4nnc(O)c5ccccc45)c3)CC1)CC2,-8.644946909647498,0
CCR2-decoy_458,N#Cc1ccc(Nc2nc(Oc3ccnc4ccccc34)nc(N3CCN(c4ccccn4)CC3)n2)cc1C(F)(F)F,-8.5630469096475,0
CCR2-decoy_426,COC(=O)[C@@]12C[C@@H](CC(=O)NCc3ccc(C)o3)C(=O)N(Cc3cccc4ccccc34)C1=CCC(C)(C)C2,-8.3908469096475,0
CCR2-decoy_350,C=CCCNc1nc(NCc2ccc(c3ccccc3)cc2)nc(N2CCC[C@@H]2CNS(=O)(=O)c2ccc(C(F)(F)F)cc2)n1,-8.381446909647497,0
CCR2-decoy_422,C[C@H]1CC[C@H](Cn2c(N3CCOC[C@H]3c3ccccn3)nc3cc(c4noc(=O)[nH]4)nc(c4cncc(Cl)c4)c32)CC1,-8.3676469096475,0
CCR2-decoy_500,CC1=CCC[C@H]2[C@@]1(C)[C@@H](OC(=O)c1cccnc1)[C@H](OC(=O)c1ccccc1)[C@](C)(O)[C@]2(C)/C=C/C1=CC(=O)OC1,-8.360846909647499,0
CCR2-decoy_403,CCN1C(=O)CN(c2nc3cc(c4noc(=O)[nH]4)nc(c4cncc(Cl)c4)c3n2C[C@H]2CC[C@H](C)CC2)[C@@H]2CCC[C@H]21,-8.3377469096475,0
CCR2-decoy_453,Cn1cc(c2c(COc3cccc4ccccc34)cc(=O)n3c2SC[C@H]3C(=O)NS(C)(=O)=O)c2ccccc21,-8.2982469096475,0
CCR2-decoy_364,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)C[C@@H](NC(=O)c1ccc2ccccc2c1)c1ccccc1)C(=O)[C@@]1(C)CO1,-8.290946909647499,0
CCR2-decoy_449,CC(Cc1ccccc1)NC(=O)CSc1nc2nc3c(cc2c(=O)n1c1ccccc1)COC(C)(C)C3,-8.2257469096475,0
CCR2-decoy_515,CC1CC(=O)N(CC(=O)N(C)C)N=C1c1ccc2nc(C3CC3)n(Cc3ccc(c4ccccc4C4=NNN=N4)cc3)c2c1,-8.210246909647498,0
CCR2-decoy_282,CS(=O)(=O)N(c1ccc(F)cc1)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C[NH2+]Cc2cccc(C(F)(F)F)c2)cc(N2CCCC2=O)c1,-8.2042469096475,0
CCR2-decoy_298,O=C(N[C@@H](Cc1ccccc1)P(=O)(O)[C@@H]1CCC[C@H]1C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-])OCc1ccccc1,-8.1518469096475,0
