ligand_id,SMILES,cluster00_BE,cluster01_BE,cluster02_BE,cluster03_BE,cluster04_BE,cluster05_BE,cluster06_BE,cluster07_BE,cluster08_BE,cluster09_BE,is_active
ASD10910002,CC(=O)C1=C(O)C(=O)N(c2ccc(Cl)cc2F)C1C1CCCCC1,-10.19,-8.587374388338555,-8.560848697700767,-7.964211077558536,-6.670760803510968,-6.698454002256838,-5.494813445779803,-7.2930114693303185,-5.5313112081858815,-6.151684003813326,1
ASD10910003,CCC(NC1C(=O)C(=O)C1Nc1ccnc(C(=O)N(C)C)c1O)c1cc(C(C)C)co1,-8.947,-8.359374388338553,-7.964848697700766,-7.052211077558537,-5.991760803510967,-5.280454002256837,-5.082813445779802,-6.258011469330318,-4.939311208185883,-5.737684003813326,1
ASD10910004,O=C(CCCn1ccnn1)C1=C(O)C(=O)N(c2ccc(Cl)cc2F)C1C1CCCCC1,-10.475,-9.180374388338556,-8.812848697700765,-8.058211077558536,-6.770760803510967,-6.498454002256837,-6.055813445779803,-7.912011469330318,-5.458311208185883,-6.522684003813327,1
ASD10910005,O=C(CCCn1ccnn1)C1=C(O)C(=O)N(c2ccc(Br)cc2F)C1C1CCCCC1,-10.319,-9.009374388338554,-8.654848697700766,-7.687211077558537,-6.5857608035109685,-6.372454002256838,-6.150813445779804,-7.512011469330318,-5.396311208185882,-6.589684003813327,1
ASD10910006,O=C(NCCOCCOCCn1ccnn1)c1ccc(Oc2ccc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cc1,-8.177,-7.597374388338554,-7.165848697700765,-6.936211077558536,-6.215760803510968,-6.065454002256837,-5.391813445779803,-5.722011469330319,-3.7893112081858815,-4.494684003813326,1
ASD10910007,O=C(NCCOCCOCCn1ccnn1)c1ccc(Oc2ccc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)cc1,-8.742,-7.972374388338554,-7.697848697700765,-7.120211077558537,-7.125760803510968,-6.659454002256837,-5.615813445779804,-6.112011469330319,-3.5923112081858823,-4.9826840038133255,1
ASD10910008,O=C(NCCOCCOCCn1ccnn1)c1ccc(Oc2ncc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)cc1,-8.636,-7.870374388338554,-8.182848697700766,-7.370211077558537,-7.033760803510969,-6.026454002256838,-5.708813445779803,-6.075011469330319,-4.287311208185883,-5.2616840038133255,1
ASD10910009,O=C(NCCOCCOCCn1ccnn1)c1ccccc1Oc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1,-9.752,-7.365374388338553,-8.419848697700766,-7.343211077558536,-5.814760803510968,-6.0714540022568375,-4.8018134457798025,-6.986011469330318,-4.356311208185883,-5.742684003813327,1
ASD10910010,O=C(NCc1c[nH]nn1)c1ccc(Oc2ncc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)cc1,-10.822,-9.293374388338554,-9.605848697700766,-8.814211077558536,-7.657760803510968,-6.906454002256838,-6.881813445779804,-8.354011469330318,-5.689311208185883,-6.674684003813326,1
ASD10910011,O=C(NCc1c[nH]nn1)c1ccc(Oc2ccc(Cl)cc2NS(=O)(=O)c2ccc(Cl)c(Cl)c2)cc1,-10.815,-9.248374388338554,-8.627848697700767,-7.302211077558537,-7.410760803510968,-7.081454002256837,-6.345813445779802,-7.834011469330319,-5.267311208185882,-6.106684003813326,1
ASD10910012,O=C(NCc1c[nH]nn1)c1ccccc1Oc1ccc(Cl)cc1NS(=O)(=O)c1ccc(Cl)c(Cl)c1,-10.507,-9.721374388338551,-9.126848697700764,-8.686211077558536,-7.397760803510968,-6.668454002256837,-6.908813445779803,-7.640011469330318,-5.7603112081858825,-6.827684003813326,1
ASD10910013,O=S(=O)(Nc1cncc(Cl)c1)c1ccc(Cl)c(C(F)(F)F)c1,-8.314,-7.657374388338553,-8.083848697700766,-6.769211077558536,-5.580760803510968,-5.493454002256838,-5.558813445779803,-6.399011469330318,-4.613311208185882,-5.507684003813326,1
ASD10910014,O=S(=O)(Nc1ccccc1)c1ccc(Cl)c(Cl)c1,-7.817,-7.048374388338554,-7.339848697700766,-6.554211077558536,-5.752760803510968,-5.526454002256838,-5.347813445779803,-5.829011469330318,-4.411311208185882,-4.618684003813327,1
ASD10910015,O=S(=O)(Nc1cncc(Cl)c1)c1ccccc1,-7.752,-6.926374388338554,-7.0498486977007655,-5.898211077558536,-4.732760803510968,-4.522454002256837,-4.507813445779803,-5.483011469330318,-3.912311208185882,-4.006684003813327,1
ASD10910016,O=S(=O)(Nc1ccccc1)c1ccccc1,-7.722,-6.997374388338554,-7.169848697700767,-6.227211077558536,-5.004760803510968,-4.816454002256837,-4.4668134457798025,-5.675011469330318,-3.9673112081858815,-3.946684003813326,1
ASD10910017,O=C(O)c1ccccc1Oc1ccc(Cl)cn1,-7.701,-6.561374388338554,-7.022848697700766,-5.950211077558537,-4.765760803510968,-4.170454002256838,-3.9478134457798033,-5.064011469330318,-3.6813112081858823,-4.209684003813327,1
CCR2-decoy_1,O=C1OC(c2cncnc2)CC([O-])=C1Sc1ccccc1Cl,-8.359,-7.457374388338554,-7.543848697700765,-6.572211077558537,-5.457760803510968,-5.387454002256838,-4.706813445779803,-6.267011469330319,-4.294311208185882,-4.892684003813326,0
CCR2-decoy_10,Cc1c(CCC(=O)[O-])c(=O)oc2cc3occ(c4ccccc4)c3cc12,-9.628,-8.578374388338554,-8.314848697700766,-7.478211077558535,-6.172760803510968,-5.394454002256838,-5.6208134457798025,-6.741011469330319,-5.408311208185882,-5.658684003813326,0
CCR2-decoy_100,CCN(CC)S(=O)(=O)c1cccc(C(=O)N/N=C/c2cc(OC)c(O)c(OC)c2)c1,-7.68,-7.015374388338554,-6.394848697700766,-5.652211077558537,-4.667760803510968,-3.669454002256837,-4.241813445779803,-4.887011469330319,-3.6193112081858825,-4.468684003813326,0
CCR2-decoy_101,CC(Oc1ccc(F)cc1)c1nnc(SCC(=O)N(c2ccccc2)C2CCS(=O)(=O)C2)o1,-10.376,-9.240374388338552,-8.462848697700766,-7.463211077558537,-6.391760803510968,-5.701454002256838,-5.920813445779803,-7.228011469330319,-5.463311208185882,-6.047684003813327,0
CCR2-decoy_102,CC(C(=O)[O-])C(C)C(=O)O[C@@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@H]4[C@H](C)CCC(=O)[O-])[C@@H]3CC[C@@H]2C1,-9.702,-8.540374388338554,-8.351848697700765,-7.403211077558536,-7.030760803510969,-5.541454002256838,-5.658813445779803,-7.403011469330318,-4.676311208185882,-6.640684003813327,0
CCR2-decoy_103,Cc1ccc(NC(=O)CN2C(=O)S/C(=C\c3ccc(c4cc(C(=O)[O-])ccc4C)o3)C2=O)cc1,-10.256,-9.611374388338554,-8.794848697700766,-7.844211077558537,-6.662760803510968,-5.448454002256838,-6.376813445779803,-6.656011469330318,-5.692311208185883,-5.8576840038133255,0
CCR2-decoy_104,CCN(C(=O)CSc1nc2ccccc2c(=O)n1Cc1ccc(C)cc1)C1CCS(=O)(=O)C1,-10.015,-8.857374388338554,-8.117848697700765,-8.204211077558536,-6.042760803510968,-5.348454002256837,-6.531813445779804,-7.04101146933032,-5.697311208185882,-5.839684003813327,0
CCR2-decoy_105,COc1ccc(C#N)cc1S(=O)(=O)N(Cc1ccccc1)Cc1cnc(C(F)(F)F)nc1,-9.155,-8.093374388338553,-8.251848697700765,-7.072211077558537,-5.895760803510967,-5.281454002256838,-5.446813445779803,-7.077011469330319,-5.368311208185883,-5.545684003813326,0
CCR2-decoy_106,CCOC[C@H]1O[C@@H](n2c(Cl)nc3cc(Cl)c(Cl)cc32)[C@H](OC(C)=O)[C@@H]1OC(C)=O,-8.139,-7.612374388338553,-7.610848697700765,-5.984211077558537,-5.055760803510968,-4.885454002256838,-4.443813445779803,-5.962011469330319,-4.277311208185882,-4.592684003813327,0
CCR2-decoy_107,CCn1cnc2c(c3ccc(F)c(c4ccc(S(=O)(=O)C5COC5)cc4OC)c3)cnnc21,-8.953,-7.757374388338555,-7.1428486977007655,-6.831211077558537,-5.925760803510968,-4.738454002256837,-5.374813445779804,-6.113011469330319,-4.299311208185882,-5.567684003813326,0
CCR2-decoy_108,CCCn1c(=O)n(C)c(=O)c2c(SCC(=O)c3ccc(Cl)cc3)nc(CC(C)C)nc21,-8.868,-7.781374388338554,-7.850848697700766,-6.706211077558537,-6.314760803510968,-5.954454002256838,-5.512813445779804,-6.133011469330318,-4.489311208185883,-5.368684003813327,0
CCR2-decoy_109,CN(C)c1cccc2c(S(=O)(=O)Oc3cccc4c3C(=O)C(N3CC3)=C(N3CC3)C4=O)cccc12,-8.249,-8.171374388338554,-7.339848697700766,-6.090211077558536,-6.4447608035109685,-5.384454002256838,-5.664813445779803,-6.203011469330319,-4.888311208185883,-5.372684003813326,0
CCR2-decoy_11,Cc1c(C(F)(F)F)n(c2nc(C(=O)[O-])cs2)nc1c1ccccc1,-8.974,-8.146374388338554,-7.918848697700765,-7.013211077558536,-5.799760803510969,-4.639454002256837,-4.774813445779803,-6.07001146933032,-4.831311208185882,-4.758684003813327,0
CCR2-decoy_110,COc1cccc([C@@H]2C[C@@H](SCc3ccccc3)[C@H](C(=O)[O-])CN2S(=O)(=O)c2ccc(C)cc2)c1,-10.728,-9.756374388338552,-9.083848697700766,-8.452211077558536,-7.189760803510968,-6.940454002256837,-6.601813445779802,-8.12801146933032,-6.120311208185882,-6.459684003813326,0
CCR2-decoy_111,CCOC(=O)N1CCN(C(=O)CN(C2CCCCC2)S(=O)(=O)c2c(C)cc(C)cc2C)CC1,-9.84,-8.972374388338554,-8.929848697700766,-7.665211077558537,-6.848760803510968,-6.333454002256838,-5.794813445779804,-7.269011469330319,-5.980311208185883,-6.134684003813327,0
CCR2-decoy_112,COc1c(OCC(=O)[O-])cc2oc3cc4c(c(O)c3c(=O)c2c1CC=C(C)C)C=CC(C)(C)O4,-8.934,-7.615374388338553,-7.437848697700765,-6.444211077558537,-5.9447608035109685,-4.856454002256838,-5.395813445779803,-5.935011469330318,-4.540311208185883,-5.598684003813327,0
