ligand_id,SMILES,glide_gscore,is_active
CCR2-decoy_234,CCOC(=O)[C@H](Cc1c[nH]c2ccccc12)NP(=O)(OC[C@H]1O[C@@H](n2cc(/C=C/Br)c(=O)[nH]c2=O)C[C@@H]1O)Oc1ccccc1,-9.2206987107786,0
CCR2-decoy_157,O=C([O-])COc1cccc2c1CCC(Cn1cc(C(c3ccccc3)c3cccnc3)cn1)C2,-9.15223313927351,0
ASD10910004,O=C(CCCn1ccnn1)C1=C(O)C(=O)N(c2ccc(Cl)cc2F)C1C1CCCCC1,-8.76460359663672,1
CCR2-decoy_761,O=C1NC(c2cccnc2)c2c1[nH]nc2c1ccccc1,-8.67943929591584,0
CCR2-decoy_756,COc1ccc(C2COc3cc(O)cc(O)c3C2=O)cc1,-8.57018829174745,0
CCR2-decoy_254,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COP(=O)(OCCS(=O)(=O)c3ccccc3)Oc3ccc(Cl)cc3)O2)c(=O)[nH]c1=O,-8.55879910512471,0
CCR2-decoy_311,CCCCCOC(=O)[C@H](Cc1ccccc1)NP(=O)(OC[C@H]1O[C@@H](n2cc(/C=C/C(=O)OC)c(=O)[nH]c2=O)C[C@@H]1O)Oc1cccc2ccccc12,-8.4843683805745,0
CCR2-decoy_395,CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)CP(=O)(O)CCCCNC(=O)Cc1ccccc1)C(=O)Nc1ccccc1,-8.28114252790091,0
CCR2-decoy_28,CSc1nnc(SC2=C([O-])CC(c3ccccc3)CC2=O)s1,-8.27405077663687,0
CCR2-decoy_301,C=CCO/N=C(\Cn1c(=O)c2cc(CC)sc2n(Cc2ccc(c3ccccc3c3nc(=O)o[nH]3)cc2)c1=O)c1ccc(OC)cc1,-8.26309288340722,0
CCR2-decoy_623,CCC1=NN(c2ccc(F)cc2)C(=O)C1Oc1ccccc1,-8.25483873882234,0
CCR2-decoy_477,COc1cc(/C=C2/SC(=O)NC2=O)ccc1OCc1nc2ccccc2c(=O)n1c1ccc(C(F)(F)F)cc1,-8.21575641579004,0
