ligand_id,SMILES,BE_min,is_active
M2R-decoy_9068,CCCCCCCCC(=O)Nc1ccc(C[C@H]2C(=O)OC3c4cc(C)cc(O)c4C4=C(C(=O)c5c(O[C@H]6C[C@@H](O)[C@@H](O)[C@H](C)O6)cccc5C4=O)N32)cc1,-11.53064115324272,0
M2R-decoy_9955,CC(C)Oc1ccc(c2cc(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6(C)CC6)C[C@H]5/C=C\CC[C@@H](C)C[C@@H](C)[C@H](NC(=O)OC(C)(C)C(F)(F)F)C(=O)N4C3)cc(c3cccnc3)n2)cc1,-11.018015020857009,0
M2R-decoy_7961,CC(C)Oc1ccc(c2cc(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6(C)CC6)C[C@H]5/C=C\CC[C@@H](C)C[C@@H](C)[C@H](NC(=O)OC(C)(C)C(F)(F)F)C(=O)N4C3)cc(n3cccn3)n2)cc1,-11.013608960170506,0
M2R-decoy_9360,NC(=[NH2+])NCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(Cl)cc1)NC(=O)C1CC1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,-10.9694783107176,0
M2R-decoy_2670,O=C(CCNC(=O)[C@H](Cc1c[nH]cn1)NC(=O)OCc1ccccc1)N[C@@H](Cc1ccc(O)cc1)C(=O)NCCCn1ccnc1,-10.968958941705806,0
M2R-decoy_9353,CN(C(=O)[C@@H](Cc1ccc2ccccc2c1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)C(C)(C)[NH3+])[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCC[NH3+])C(N)=O,-10.91514745992,0
M2R-decoy_7695,C=CC[C@H](NC(=O)[C@@H]1C[C@@H](Cc2ccc(C)cc2)c2c(Cl)nc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2CC3CC(C3(C)C)[C@@]2(C)O1,-10.849148449654418,0
M2R-decoy_9356,C[C@H]([NH3+])C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NNC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCC[NH3+])C(N)=O,-10.825852425095418,0
ASD01810008,O=C1CCc2cc3c(c4c5cc(O)ccc5n1c24)CCNC3,-10.704845599215709,1
M2R-decoy_3769,O=C(C[C@@H](Cc1ccccc1)C(=O)NC1c2ccccc2C[C@H]1O)CN1C(=O)[C@@H](Cc2ccccc2)C[C@@H]1Cc1ccccc1,-10.690476480154226,0
