ligand_id,SMILES,cluster00_BE,cluster01_BE,cluster02_BE,cluster03_BE,cluster04_BE,cluster05_BE,cluster06_BE,cluster07_BE,cluster08_BE,is_active
M2R-decoy_9068,CCCCCCCCC(=O)Nc1ccc(C[C@H]2C(=O)OC3c4cc(C)cc(O)c4C4=C(C(=O)c5c(O[C@H]6C[C@@H](O)[C@@H](O)[C@H](C)O6)cccc5C4=O)N32)cc1,-11.2332924446692,-11.53064115324272,-9.605827790327304,-6.50296029178472,-7.251059311175718,-7.887833346718805,-4.953335917637749,-4.849519077410213,-8.390342521153675,0
M2R-decoy_9360,NC(=[NH2+])NCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(Cl)cc1)NC(=O)C1CC1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,-10.9694783107176,-8.778289833476368,-7.503668015670597,-7.707191494882601,-6.908205886636207,-7.359313544913325,-4.252699707703258,-6.842547231487602,-6.726465536120465,0
M2R-decoy_9353,CN(C(=O)[C@@H](Cc1ccc2ccccc2c1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)C(C)(C)[NH3+])[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCC[NH3+])C(N)=O,-10.91514745992,-9.358478132812218,-10.765150825036809,-8.39506832767556,-7.540495274582508,-7.955520665801416,-7.563166751229939,-7.862762829371423,-5.714288854278575,0
M2R-decoy_7695,C=CC[C@H](NC(=O)[C@@H]1C[C@@H](Cc2ccc(C)cc2)c2c(Cl)nc(NCc3cccc(C(F)(F)F)c3)c(=O)n21)B1OC2CC3CC(C3(C)C)[C@@]2(C)O1,-10.6274604581198,-10.849148449654418,-9.647001383500506,-6.0857836615078105,-8.851756856066817,-9.030086335396224,-4.628791498450239,-4.9486836267594425,-7.907616458373175,0
M2R-decoy_10270,Cc1c(C)[n+]([O-])c2c([n+]1[O-])C(Br)CCC2Br,-10.5255972861573,-7.480556276819978,-7.487771212859705,-6.95943370230707,-5.651528365949818,-4.813235105174936,-5.612283472495019,-4.014747100464693,-6.337187311692324,0
ASD01810018,N#Cc1ccc2c3c4c(cc5c3n(c2c1)C(=O)CC5)CNCC4,-10.4402273525923,-9.87906387904972,-10.482645760955206,-6.716149881700161,-8.147097883809208,-8.292716315889425,-6.352884091565368,-4.671265365005033,-7.726406528504274,1
ASD01810003,O=C1CCc2cc3c(c4c5c(O)cccc5n1c24)CCNC3,-10.3443593446216,-10.16239825815322,-9.793936327672704,-6.63919147447708,-7.368027572838718,-7.708579893295896,-6.700297052153868,-4.373256749664043,-8.396160999615075,1
ASD01810027,CC1(C)CC(=O)n2c3cccc(O)c3c3c4c(cc1c32)CNCC4,-10.321276205788,-9.40645028878972,-9.603208152164504,-6.22499565494466,-7.368645289293907,-7.448654041877736,-4.566823591406378,-4.109931596842013,-6.069284363715445,1
M2R-decoy_4129,COc1cc(COC(=O)NC(C(=O)N[C@@H](Cc2ccccc2)[C@@H](O)C[C@H](Cc2ccccc2)NC(=O)OCc2cccnc2)C(C)C)on1,-10.2333966817322,-6.458256077568058,-8.388074582168946,-6.86992300673665,-5.016754413970317,-5.827698841597316,-3.798703992938939,-4.315088582389083,-6.720949815069114,0
M2R-decoy_4708,O=C(NCCN1C(=O)S/C(=C\c2cccnc2)C1=O)c1cccc(OC(F)F)c1,-10.1966394441293,-8.389660457608999,-8.930129632782867,-4.50102942916115,-5.422001341876888,-6.130549286150636,-3.760633474507359,-2.728719427837003,-5.105910167091395,0
