ligand_id,SMILES,cluster00_BE,cluster01_BE,cluster02_BE,cluster03_BE,cluster04_BE,cluster05_BE,cluster06_BE,cluster07_BE,cluster08_BE,is_active
ASD00230003,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,-6.172,-5.075633728738219,-5.316618195096407,-5.10455254563703,-4.279700306037418,-2.831024196616026,-2.8481187386568383,-4.506438950327563,-2.9629519609142747,1
ASD01810001,O=C1CCc2cc3c(c4c5ccccc5n1c24)CCNC3,-12.641,-11.930633728738218,-11.327618195096406,-8.61455254563703,-8.477700306037418,-9.622024196616026,-9.672118738656838,-6.766438950327563,-9.664951960914276,1
ASD01810002,COc1cccc2c1c1c3c(cc4c1n2C(=O)CC4)CNCC3,-12.404,-11.533633728738218,-10.794618195096406,-8.57355254563703,-7.464700306037418,-8.902024196616026,-8.65711873865684,-6.837438950327563,-9.624951960914274,1
ASD01810003,O=C1CCc2cc3c(c4c5c(O)cccc5n1c24)CCNC3,-12.878,-12.08663372873822,-11.623618195096409,-8.58955254563703,-8.447700306037417,-9.433024196616026,-9.06711873865684,-6.648438950327563,-9.693951960914276,1
ASD01810004,O=C1CCc2cc3c(c4c5c(Cl)cccc5n1c24)CCNC3,-12.934,-12.071633728738218,-11.744618195096406,-8.87055254563703,-7.931700306037417,-8.678024196616025,-5.591118738656839,-6.925438950327562,-9.541951960914275,1
ASD01810005,COC(=O)c1cccc2c1c1c3c(cc4c1n2C(=O)CC4)CNCC3,-11.99,-11.847633728738218,-11.455618195096406,-8.64955254563703,-6.429700306037417,-7.136024196616026,-7.113118738656839,-6.685438950327564,-8.763951960914275,1
ASD01810006,Cc1ccc2c(c1)c1c3c(cc4c1n2C(=O)CC4)CNCC3,-12.878,-12.441633728738218,-11.994618195096406,-8.85455254563703,-9.017700306037415,-10.080024196616026,-9.77911873865684,-6.788438950327564,-9.713951960914274,1
ASD01810007,COc1ccc2c(c1)c1c3c(cc4c1n2C(=O)CC4)CNCC3,-12.438,-11.879633728738218,-11.794618195096406,-8.97355254563703,-9.034700306037417,-9.507024196616026,-9.367118738656838,-6.447438950327562,-8.983951960914274,1
ASD01810008,O=C1CCc2cc3c(c4c5cc(O)ccc5n1c24)CCNC3,-12.096,-12.036633728738218,-11.749618195096406,-8.427552545637031,-9.135700306037418,-9.414024196616026,-9.461118738656838,-6.387438950327564,-9.425951960914274,1
ASD01810009,O=C1CCc2cc3c(c4c5cc(Cl)ccc5n1c24)CCNC3,-12.995,-12.034633728738218,-11.646618195096408,-8.83255254563703,-9.017700306037415,-9.865024196616028,-9.791118738656838,-6.911438950327563,-9.772951960914275,1
ASD01810010,O=C(O)c1ccc2c(c1)c1c3c(cc4c1n2C(=O)CC4)CNCC3,-13.041,-12.476633728738218,-12.114618195096408,-8.95255254563703,-8.480700306037418,-10.266024196616026,-9.49711873865684,-7.217438950327562,-9.566951960914274,1
ASD01810011,COC(=O)c1ccc2c(c1)c1c3c(cc4c1n2C(=O)CC4)CNCC3,-13.307,-12.258633728738218,-11.880618195096408,-8.626552545637031,-9.426700306037418,-9.769024196616028,-9.12611873865684,-7.051438950327563,-9.400951960914275,1
