ligand_id,SMILES,dock38_score,is_active
ASD01820204,c1ccc2c(-c3ccc(-c4c(CCCNC5CCCCC5)ccc5ccccc45)cc3)c(CCCNC3CCCCC3)ccc2c1,-49.25,1
ASD01820032,Clc1cccc(Cl)c1CON=Cc1cc[n+](CCCc2ccccc2)cc1,-47.22,1
ASD01820178,C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)c2cc3ccccc3cc2C1=O)CCCN1C(=O)c2cc3ccccc3cc2C1=O,-44.73,1
ASD01820170,C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)c2cccc3cccc(c23)C1=O)CCCN1C(=O)c2ccccc2C1=O,-44.32,1
ASD01820173,C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)c2cc(F)c(F)cc2C1=O)CCCN1C(=O)c2cc(F)c(F)cc2C1=O,-43.05,1
ASD01830023,O=C1CC2OCC=C3C[N+]4(Cc5ccc(-c6ccccc6)cc5)CCC56c7ccccc7N1C5C2C3CC64,-42.88,1
ASD01840068.1,Cc1c(Cl)c(OCC(=O)N2CCN(C)CC2)nc2sc(C(=O)NC3CC3)c(N)c12,-42.22,1
ASD01820036,CCC[n+]1ccc(C=NOCc2c(Cl)cccc2Cl)cc1,-41.64,1
ASD01820180,C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)c2cccc3cccc(c23)C1=O)CCCN1C(=O)c2cccc3cccc(c23)C1=O,-41.54,1
ASD01820068,O=C1c2ccccc2C(=O)N1CC[n+]1ccc(CCCc2cc[n+](CCN3C(=O)c4ccccc4C3=O)cc2)cc1,-41.41,1
ASD01820041,C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)c2ccccc2C1=O)CCCN1C(=O)c2ccccc2C1=O,-40.44,1
ASD01820217,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,-40.26,1
ASD01820044,CC(C)(CN1C(=O)c2ccccc2C1=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCN1C(=O)c2ccccc2C1=O,-39.57,1
ASD01820195,CC(C)(CN1C(=O)c2cccc3cccc(c23)C1=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCN1C(=O)c2cccc3cccc(c23)C1=O,-39.5,1
ASD01820070,O=C1c2ccccc2C(=O)N1CCCC[n+]1ccc(CCCc2cc[n+](CCCCN3C(=O)c4ccccc4C3=O)cc2)cc1,-39.05,1
ASD01820163,C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)c2cc(F)c(F)cc2C1=O)CCCN1C(=O)c2ccccc2C1=O,-39.02,1
ASD01820169,C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)c2cc(Cl)c(Cl)cc2C1=O)CCCN1C(=O)c2ccccc2C1=O,-38.33,1
ASD01820033,COc1ccc(CCC[n+]2ccc(C=NOCc3c(Cl)cccc3Cl)cc2)cc1,-38.17,1
ASD01820085,OC(c1cc(C(F)(F)F)nc2c(Cl)cc(Cl)cc12)C1CCCCN1,-38.1,1
ASD01820109,O=C(NC(c1ccccc1Cl)C(F)(F)F)c1cn(-c2ccc(F)cc2F)c2nc(N3CC(O)CC3=O)ccc2c1=O,-37.87,1
ASD01820191,Cc1ccc2c(c1)C(=O)N(CCC[N+](C)(C)CCCCCC[N+](C)(C)CCCN1C(=O)c3cccc4cccc(c34)C1=O)C2=O,-37.81,1
ASD01820042,CC(CN1C(=O)c2ccccc2C1=O)C[N+](C)(C)CCCCCC[N+](C)(C)CCCN1C(=O)c2ccccc2C1=O,-37.75,1
ASD01820016,CC[N+](C)(C)CCCCCC[N+](C)(C)CCCN1C(=O)c2ccccc2C1=O,-37.55,1
ASD01820214,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,-37.53,1
ASD01820005,Cc1c(Cl)c(OCC(=O)N2CCN(C)CC2)cc2sc(C(=O)NC3CC3)c(N)c12,-37.32,1
ASD01820027,ON=Cc1cc[n+](CCC[n+]2ccc(C=NOCc3c(Cl)cccc3Cl)cc2)cc1,-37.25,1
ASD01820059,C[N+](C)(CCCN1C(=O)c2ccccc2C1=O)CCCN1C(=O)c2ccccc2C1=O,-37.08,1
ASD01820227,C1=C2C[N+]3(Cc4ccccc4)CCC45c6ccccc6N6C7OCC=C8C[N+]9(Cc%10ccccc%10)CCC%10%11c%12ccccc%12N(C(OC1)C(C2CC43)C65)C%10C7C8CC%119,-36.9,1
ASD01820179,C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)c2cc(Cl)c(Cl)cc2C1=O)CCCN1C(=O)c2cc(Cl)c(Cl)cc2C1=O,-36.87,1
ASD01820052,C[N+](C)(CCCN1C(=O)c2ccccc2C1=O)CCC[N+](C)(C)CCCN1C(=O)c2ccccc2C1=O,-36.56,1
ASD01820167,C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)C2C3c4ccccc4C(c4ccccc43)C2C1=O)CCCN1C(=O)c2ccccc2C1=O,-36.26,1
ASD01830022,O=C1CC2OCC=C3C[N+]4(Cc5ccc6ccccc6c5)CCC56c7ccccc7N1C5C2C3CC64,-36.22,1
ASD01820074,O=C1CCc2ccccc2N1CCCN1CCC(CCCCCCCCCO)CC1,-36.1,1
ASD01820193,Cc1ccc2c(c1)C(=O)N(CC(C)(C)C[N+](C)(C)CCCCCC[N+](C)(C)CCCN1C(=O)c3cccc4cccc(c34)C1=O)C2=O,-36.03,1
ASD01820030,CN(C)c1cc[n+](CCC[n+]2ccc(C=NOCc3c(Cl)cccc3Cl)cc2)cc1,-36.02,1
ASD01820017,CCCCCC[N+](C)(C)CCCN1C(=O)c2ccccc2C1=O,-35.99,1
ASD01820053,C[N+](C)(CCCC[N+](C)(C)CCCN1C(=O)c2ccccc2C1=O)CCCN1C(=O)c2ccccc2C1=O,-35.97,1
ASD01820171,C[N+](C)(CCCCCC[N+](C)(C)CCCN1C(=O)c2nccnc2C1=O)CCCN1C(=O)c2nccnc2C1=O,-35.92,1
ASD01820011,CN1CCC=C(c2nsnc2OCCCCCCCC2CCN(CCCN3C(=O)CCc4ccccc43)CC2)C1,-35.75,1
ASD01820150,N#CC[N+]12CCC34c5ccccc5N5C6OCC=C7C[N+]8(CC#N)CCC9%10c%11ccccc%11N(C%11OCC=C(C1)C(CC32)C%11C54)C9C6C7CC%108,-35.69,1
ASD01820031,Clc1cccc(Cl)c1CON=Cc1cc[n+](CCC[n+]2ccccc2)cc1,-35.67,1
ASD01810029,COc1ccc2c(c1)c1c3c(cc4c1n2C(=O)CC4)CCNC3,-35.42,1
ASD01820014,CC12CCCCC1(C)C(=O)N(CCC[N+](C)(C)CCCCCC[N+](C)(C)CCCN1C(=O)c3ccccc3C1=O)C2=O,-35.28,1
ASD01820098,C[N+](C)(CC#CCOC1=NOCC1)CCCCCC[N+](C)(C)CCCN1C(=O)c2cccc3cccc(c23)C1=O,-35.14,1
ASD01820225,C#CC[N+]12CCC34c5ccccc5N5C6OCC=C7C[N+]8(CC#C)CCC9%10c%11ccccc%11N(C%11OCC=C(C1)C(CC32)C%11C54)C9C6C7CC%108,-35.14,1
