ligand_id,SMILES,glide_gscore,is_active
M2R-decoy_9356,C[C@H]([NH3+])C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NNC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCC[NH3+])C(N)=O,-11.4137774878131,0
M2R-decoy_2642,CN1C(=O)[C@H]([C@H](O)[C@H](CC2CCCCC2)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C[C@H]1CO,-11.001680579499,0
M2R-decoy_5008,CC(C)[C@H](NP(=O)(OCC1OC(n2cc(/C=C/Br)c(=O)[nH]c2=O)CC1O)Oc1cccc2ccccc12)C(=O)OCc1ccccc1,-10.9308461082503,0
ASD01820022,CCCN(CCCN1C(=O)c2ccccc2C1=O)CC1CCCCN1CCNC(=O)N1c2ccccc2C(=O)Nc2cccnc21,-10.75800135124,1
M2R-decoy_9852,CC(=O)Nc1cc(c2c(c3ccc(F)cc3)nc(Sc3cccc(I)n3)n2C2CCCCC2)ccn1,-10.7222147026599,0
M2R-decoy_2547,[NH3+][C@@H](Cc1c(F)cc(O)cc1F)C(=O)N1Cc2ccccc2C[C@H]1C(=O)N[C@@H](CCCC[NH2+]Cc1ccccc1)C(=O)[O-],-10.7046832858031,0
M2R-decoy_2748,CC(C)[C@H](NC(=O)[C@H](OCc1ccccc1)[C@H](O)[C@@H](O)[C@@H](OCc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(=O)NCC(F)(F)F,-10.6889840860711,0
M2R-decoy_2647,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(NCCc4ccc(Br)cc4)nc32)[C@H](O)[C@@H]1O,-10.676288560493,0
M2R-decoy_746,OC[C@H]1O[C@H](Oc2ccc(c3cccc(O)c3)cc2)[C@@H](O)[C@@H](O)[C@@H]1O,-10.4870936496859,0
M2R-decoy_2675,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,-10.394654488052,0
M2R-decoy_102,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](/C=C/C(=O)N1CCCO1)CCC(N)=O,-10.3491659399829,0
M2R-decoy_5738,CCCC(NC(=O)[C@@H]1[C@H]2CCC[C@H]2CN1C(=O)[C@@H](NC(=O)[C@H](O)C(C)C)C(C)C)C(=O)C(=O)Nc1ccccc1,-10.2894998186433,0
M2R-decoy_5034,COc1ccc(Cn2c(CCc3ccccc3)nnc2[C@@H](Cc2c[nH]c3ccccc23)NC(=O)CNC(=O)/C(C#N)=C/c2c[nH]c3ccccc23)cc1,-10.2886324077866,0
M2R-decoy_3481,Cc1cccc(CNC(=O)NC(C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cccnc2)C(C)C)n1,-10.2860315010088,0
M2R-decoy_9308,CC(=O)N[C@@H](Cc1ccc(Cl)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC[NH+]=C(N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,-10.2745548067571,0
M2R-decoy_3969,CCCOC(=O)[C@H](Cc1ccccc1)NP(=O)(CO[C@@H]1C=C(F)[C@H](n2cnc3c(N)ncnc32)O1)Oc1ccccc1,-10.0669152631642,0
M2R-decoy_5810,O=C(NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)[C@H](CCc1ccccc1)N/C=C/S(=O)(=O)c1ccc2ccccc2c1)NN1CCOCC1,-10.0077052680774,0
M2R-decoy_7367,O=C(N[C@@H]1Cc2ccc3[nH]ncc3c2CN(Cc2ccccc2)C1=O)N1CCC(N2Cc3ccccc3NC2=O)CC1,-9.98016516724192,0
M2R-decoy_2713,C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc(Br)cc1)C(=O)N[C@H](C(=O)N[C@@H](CCCC[N+](C)(C)C)C(=O)NCC[NH3+])C1CCCC1,-9.97230458441072,0
M2R-decoy_3523,COc1ccc(NC(=O)C2CCCN(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]3(C)CO3)C2)cc1,-9.96563228777964,0
M2R-decoy_3454,CC(C)C[C@H](NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)OCc1ccccc1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,-9.93712614839223,0
M2R-decoy_2691,CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NC(=O)c1cnccc1O)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1,-9.93412773040076,0
