#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0   960804    0.641    1.670    0.266   544226    2.296
       1   212511    0.142    1.534    0.359   939513    2.490
       2   208791    0.139    1.740    0.313    47367    2.266
       3    59889    0.040    1.497    0.184   332294    2.360
       4    20066    0.013    1.490    0.322   415956    2.340
       5    12025    0.008    1.289    0.065  1033338    2.256
       6     8064    0.005    1.356    0.000   406419    2.364
       7     8014    0.005    1.445    0.000   497022    2.526
       8     6056    0.004    1.338    0.179   373373    2.619
       9     3780    0.003    0.000    0.000   484192    2.351
